id,id_str,text,created_at,retweeted,retweet_count,source,user_id,user_id_str,user_mentions,hashtags,hashtags_count,user_mentions_count,language,Sentiment
2.47E+17,2.47E+17,"RT @ATT: Texting &amp; driving simply isn't worth it! Pledge with us by replying or RT w/ ""I pledge."" #ItCanWait http://t.co/bOQgivrY",Sat Sep 15 06:04:48 +0000 2012,f,34613,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",357665288,357665288,ATT,ItCanWait,1,1,en,0
2.47E+17,2.47E+17,Can't sleep D':,Sat Sep 15 15:07:02 +0000 2012,f,0,web,825244356,825244356,,,0,0,en,-1
2.47E+17,2.47E+17,RT @deaconfootball: This feels like a good day for college football. Can't wait to see the #Deacs in action.,Sat Sep 15 15:36:17 +0000 2012,f,8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",565667153,565667153,deaconfootball,Deacs,1,1,en,1
2.47E+17,2.47E+17,Can't sleep :( what's everyone into?,Sun Sep 16 04:38:00 +0000 2012,f,0,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>",455757073,455757073,,,0,0,en,-1
2.47E+17,2.47E+17,"http://t.co/FUJ00dcK 
†–†ä‘†£†_ë“ç_“ö___Š—_´_™",Sun Sep 16 07:29:12 +0000 2012,f,1,"<a href=""http://twipple.jp/"" rel=""nofollow"">Twipple   for Android</a>",235122167,235122167,,,0,0,eo,
2.47E+17,2.47E+17,played the song 'Rope (Take 3).mp3' by Conor Beales on @myspace http://t.co/DteC2vj4,Sun Sep 16 14:27:29 +0000 2012,f,0,"<a href=""http://www.myspace.com/sync"" rel=""nofollow"">MySpace</a>",199393904,199393904,Myspace,,0,1,en,0
2.47E+17,2.47E+17,Hernandez injury brought back very similar memories to Brady being helped down those stairs in 2008 #patriots #panicmode,Sun Sep 16 18:16:09 +0000 2012,f,0,web,16286338,16286338,,"patriots,panicmode",2,0,en,0
2.47E+17,2.47E+17,http://t.co/mSDYDRGR,Sun Sep 16 19:46:54 +0000 2012,f,0,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",390657645,390657645,,,0,0,eo,
2.47E+17,2.47E+17,@MooseDiesel81 hii :P,Sun Sep 16 20:43:33 +0000 2012,f,0,web,827598565,827598565,MooseDiesel81,,0,1,af,
2.47E+17,2.47E+17,"Tweet nya @UletKasur bikin lupa akan kegalauan ._. Yang suka galau , ayoo buruan di follow !! :D",Sun Sep 16 22:59:30 +0000 2012,f,0,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerryÎÂ</a>",543375597,543375597,UletKasur,,0,1,ms,
