id,id_str,text,created_at,retweeted,retweet_count,source,user_id,user_id_str,user_mentions,hashtags,hashtags_count,user_mentions_count,language,sentiment
2.70E+17,2.70E+17,"Call me Mr. Don Trip, mighty Joe Young",Sat Nov 17 19:14:12 +0000 2012,f,0,web,335145255,335145255,,,0,0,en,1
2.70E+17,2.70E+17,RT @Lord_Voldemort7: #10ThingsIHateAboutMyself: Nothing. Everybody nose I'm perfect.,Sat Nov 17 19:23:06 +0000 2012,f,14533,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",295814303,295814303,Lord_Voldemort7,10ThingsIHateAboutMyself,1,1,en,1
2.70E+17,2.70E+17,"RT @Fatwsh: RT""@FemalePains: Why does my hair take so long to dry?? #femalepains""",Sat Nov 17 19:25:13 +0000 2012,f,0,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",203441628,203441628,"Fatwsh,FemalePains",femalepains,1,2,en,0
2.70E+17,2.70E+17,"‏​اللهم اننا نسئلك العفو.والعافية يالله على حلم ربي علينا شاهد ""مقطع مؤثر عن هيبة الله.avi"" على YouTube - https://t.co/4DsAwpsw",Sat Nov 17 19:25:18 +0000 2012,f,0,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",515111599,515111599,,,0,0,ar,
2.70E+17,2.70E+17,@AliciaLouise96 hahaa bet you do! Disgusting boys ;) xxxxx,Sat Nov 17 19:25:49 +0000 2012,f,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",764681479,764681479,AliciaLouise96,,0,1,en,1
2.70E+17,2.70E+17,"@FactsFlip ik ben fan, Flip!",Sat Nov 17 19:29:55 +0000 2012,f,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",57678351,57678351,FactsFlip,,0,1,fy,
2.70E+17,2.70E+17,Get a Samsung Galaxy S III Android Smartphone and FREE unlimited wireless service http://t.co/VJM6QTAj,Sat Nov 17 19:30:30 +0000 2012,f,0,web,72795113,72795113,,,0,0,en,0
2.70E+17,2.70E+17,اووووه ي اتي ياموج البحر .. هارد لك والجاي احسن باذن الله,Sat Nov 17 19:31:11 +0000 2012,f,1,web,500417927,500417927,,,0,0,ar,
2.70E+17,2.70E+17,قيل لِ قيس ماذا لو أن ليلى لم تكن ؟ قال : لكنت بكيت البكاء كله لكي تكون,Sat Nov 17 19:34:22 +0000 2012,f,0,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",495836783,495836783,,,0,0,ar,
2.70E+17,2.70E+17,I want Dairy Queen..,Sat Nov 17 19:35:05 +0000 2012,f,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",321516707,321516707,,,0,0,en,0
